Image,IoU,PSNR,SSIM
100.png,0.991,19.99,0.904
102.png,0.995,21.12,0.903
103.png,0.984,19.41,0.879
104.png,0.999,26.66,0.968
105.png,0.994,19.02,0.834
106.png,0.994,19.01,0.832
107.png,0.996,19.19,0.867
109.png,1.0,inf,1.0
110.png,1.0,inf,1.0
112.png,1.0,inf,1.0
113.png,1.0,inf,1.0
114.png,1.0,inf,1.0
115.png,0.998,25.3,0.953
116.png,0.996,22.63,0.919
117.png,0.993,19.87,0.879
118.png,0.993,20.0,0.878
119.png,0.993,20.57,0.856
121.png,0.992,18.91,0.862
123.png,0.993,19.67,0.861
124.png,0.993,19.59,0.859
125.png,0.997,23.28,0.933
126.png,0.996,22.06,0.928
127.png,0.997,23.09,0.934
128.png,0.995,20.98,0.892
129.png,0.997,25.11,0.938
13.png,0.998,26.72,0.955
130.png,0.997,24.17,0.934
131.png,1.0,inf,1.0
132.png,1.0,inf,1.0
135.png,1.0,inf,1.0
136.png,1.0,inf,1.0
137.png,1.0,inf,1.0
138.png,0.997,23.57,0.944
139.png,0.997,22.45,0.928
14.png,0.998,26.49,0.956
140.png,0.997,22.25,0.93
141.png,1.0,inf,1.0
142.png,1.0,inf,1.0
143.png,0.994,20.78,0.897
144.png,0.998,22.28,0.933
145.png,0.994,20.07,0.864
147.png,0.998,27.79,0.979
149.png,1.0,inf,1.0
15.png,1.0,inf,1.0
150.png,0.999,30.38,0.989
151.png,0.997,25.73,0.956
152.png,0.998,26.79,0.968
154.png,0.99,19.07,0.862
157.png,1.0,33.59,0.994
159.png,0.999,21.95,0.935
16.png,1.0,inf,1.0
160.png,0.999,21.76,0.934
162.png,0.999,27.07,0.979
167.png,0.995,23.46,0.922
169.png,0.999,28.23,0.974
17.png,0.995,19.15,0.863
171.png,1.0,inf,1.0
172.png,1.0,inf,1.0
173.png,1.0,inf,1.0
174.png,0.996,23.54,0.945
175.png,0.997,22.14,0.944
176.png,0.995,22.11,0.944
180.png,0.998,21.84,0.928
183.png,1.0,inf,1.0
184.png,0.998,26.4,0.971
185.png,1.0,inf,1.0
186.png,0.999,28.09,0.975
187.png,0.999,28.13,0.976
188.png,0.995,22.35,0.941
189.png,0.996,22.4,0.913
191.png,1.0,inf,1.0
193.png,1.0,inf,1.0
194.png,1.0,inf,1.0
195.png,1.0,26.64,0.98
196.png,0.999,23.67,0.952
198.png,0.998,25.3,0.954
199.png,0.999,29.55,0.986
200.png,1.0,inf,1.0
201.png,0.999,33.52,0.989
202.png,0.995,21.39,0.909
203.png,1.0,inf,1.0
204.png,0.997,23.59,0.946
206.png,0.998,25.53,0.965
207.png,0.997,22.01,0.941
209.png,0.996,23.97,0.946
21.png,0.999,29.66,0.969
210.png,0.999,28.33,0.978
211.png,1.0,26.86,0.978
212.png,0.999,28.14,0.979
213.png,0.998,24.9,0.957
215.png,0.999,25.98,0.959
216.png,0.999,24.24,0.953
219.png,0.999,31.23,0.991
220.png,1.0,inf,1.0
221.png,1.0,33.17,0.991
222.png,0.997,25.21,0.939
225.png,0.997,24.44,0.955
227.png,0.996,24.96,0.959
228.png,1.0,inf,1.0
229.png,1.0,inf,1.0
230.png,0.996,23.77,0.922
231.png,0.999,23.42,0.951
232.png,0.995,22.05,0.907
233.png,0.999,26.88,0.971
235.png,0.998,26.78,0.969
236.png,0.999,29.69,0.982
237.png,0.999,26.5,0.975
238.png,0.999,27.48,0.978
239.png,0.997,23.83,0.946
240.png,0.999,25.93,0.967
241.png,0.994,20.45,0.891
242.png,0.996,22.66,0.94
243.png,0.997,22.04,0.912
244.png,0.995,21.21,0.901
246.png,0.993,19.73,0.885
247.png,0.996,23.47,0.929
248.png,0.998,24.19,0.951
249.png,1.0,inf,1.0
250.png,1.0,inf,1.0
251.png,1.0,inf,1.0
252.png,1.0,inf,1.0
253.png,1.0,inf,1.0
254.png,1.0,33.39,0.993
257.png,0.997,23.95,0.951
258.png,0.998,26.81,0.97
259.png,0.98,15.13,0.649
26.png,0.997,22.68,0.918
260.png,0.971,14.42,0.632
261.png,0.973,15.19,0.729
262.png,0.979,15.74,0.672
263.png,0.997,24.83,0.942
264.png,0.993,21.31,0.913
265.png,0.997,22.66,0.94
267.png,0.997,22.83,0.941
27.png,0.997,21.9,0.936
28.png,0.997,21.88,0.936
328.png,0.998,24.6,0.937
33.png,0.995,21.52,0.916
330.png,0.998,24.8,0.939
342.png,0.998,25.08,0.936
344.png,0.998,25.09,0.936
35.png,0.996,21.25,0.902
38.png,0.994,19.7,0.885
39.png,0.997,26.01,0.948
42.png,0.997,25.17,0.956
43.png,0.998,26.06,0.954
44.png,0.998,26.12,0.955
45.png,0.999,25.92,0.972
450.png,0.998,25.77,0.956
46.png,0.999,25.99,0.972
460.png,0.996,26.3,0.935
464.png,0.996,22.47,0.905
468.png,0.991,16.99,0.788
469.png,0.992,17.83,0.824
47.png,0.996,23.68,0.953
470.png,0.991,18.09,0.815
471.png,0.999,25.84,0.967
472.png,0.998,20.99,0.912
473.png,0.998,20.68,0.9
